Job Title;Employment Type;Experience Level;Expertise Level;Company Location;Salary in USD;Employee Residence;Company Size;Year
Machine Learning Manager;Full-Time;Senior;Expert;United States;129562;Germany;Large;2023
BI Data Analyst;Full-Time;Entry;Junior;Kenya;50000;Kenya;Small;2023
AI Engineer;Full-Time;Senior;Expert;United States;227850;United States;Medium;2023
AI Engineer;Full-Time;Senior;Expert;United States;180500;United States;Medium;2023
Data Analyst;Full-Time;Mid;Intermediate;United States;90000;United States;Medium;2023
Data Analyst;Full-Time;Mid;Intermediate;United States;70000;United States;Medium;2023
Data Engineer;Full-Time;Senior;Expert;United States;199000;United States;Medium;2023
Data Engineer;Full-Time;Senior;Expert;United States;159000;United States;Medium;2023
Data Lead;Full-Time;Senior;Expert;United States;350000;United States;Medium;2023
Data Lead;Full-Time;Senior;Expert;United States;80000;United States;Medium;2023
Machine Learning Engineer;Full-Time;Senior;Expert;United Kingdom;240000;United Kingdom;Medium;2023
Machine Learning Engineer;Full-Time;Senior;Expert;United Kingdom;160000;United Kingdom;Medium;2023
Data Engineer;Full-Time;Senior;Expert;United States;145000;United States;Medium;2023
Data Engineer;Full-Time;Senior;Expert;United States;115000;United States;Medium;2023
Data Analyst;Full-Time;Mid;Intermediate;United States;107500;United States;Medium;2023
Data Analyst;Full-Time;Mid;Intermediate;United States;96750;United States;Medium;2023
Machine Learning Engineer;Full-Time;Senior;Expert;United States;174000;United States;Medium;2023
Machine Learning Engineer;Full-Time;Senior;Expert;United States;104000;United States;Medium;2023
ML Engineer;Full-Time;Senior;Expert;United States;275300;United States;Medium;2023
ML Engineer;Full-Time;Senior;Expert;United States;183500;United States;Medium;2023
Data Scientist;Full-Time;Senior;Expert;United States;250000;United States;Medium;2023
Data Scientist;Full-Time;Senior;Expert;United States;225000;United States;Medium;2023
Data Engineer;Full-Time;Senior;Expert;United States;174350;United States;Medium;2023
Data Engineer;Full-Time;Senior;Expert;United States;126800;United States;Medium;2023
Machine Learning Engineer;Full-Time;Senior;Expert;United States;284050;United States;Medium;2023
Machine Learning Engineer;Full-Time;Senior;Expert;United States;193800;United States;Medium;2023
Data Engineer;Full-Time;Senior;Expert;United States;300000;United States;Medium;2023
Data Engineer;Full-Time;Senior;Expert;United States;200000;United States;Medium;2023
Data Engineer;Full-Time;Senior;Expert;United States;232989;United States;Medium;2023
Data Engineer;Full-Time;Senior;Expert;United States;140000;United States;Medium;2023
BI Data Analyst;Full-Time;Entry;Junior;United States;85000;Canada;Medium;2023
Machine Learning Engineer;Full-Time;Senior;Expert;United States;204500;United States;Medium;2023
Machine Learning Engineer;Full-Time;Senior;Expert;United States;142200;United States;Medium;2023
Data Engineer;Full-Time;Senior;Expert;United States;147100;United States;Medium;2023
Data Engineer;Full-Time;Senior;Expert;United States;90700;United States;Medium;2023
Data Analyst;Full-Time;Senior;Expert;United States;140000;United States;Medium;2023
Data Analyst;Full-Time;Senior;Expert;United States;95000;United States;Medium;2023
Data Analyst;Full-Time;Senior;Expert;United States;204500;United States;Medium;2023
Data Analyst;Full-Time;Senior;Expert;United States;138900;United States;Medium;2023
Data Modeler;Full-Time;Senior;Expert;United States;168400;United States;Medium;2023
Data Modeler;Full-Time;Senior;Expert;United States;105200;United States;Medium;2023
Research Scientist;Full-Time;Senior;Expert;United States;205500;United States;Medium;2023
Research Scientist;Full-Time;Senior;Expert;United States;132500;United States;Medium;2023
Data Scientist;Full-Time;Senior;Expert;United States;147100;United States;Medium;2023
Data Scientist;Full-Time;Senior;Expert;United States;90700;United States;Medium;2023
Machine Learning Engineer;Full-Time;Senior;Expert;United States;247500;United States;Medium;2023
Machine Learning Engineer;Full-Time;Senior;Expert;United States;172200;United States;Medium;2023
Data Analyst;Full-Time;Senior;Expert;United States;192000;United States;Medium;2023
Data Analyst;Full-Time;Senior;Expert;United States;138240;United States;Medium;2023
Data Engineer;Full-Time;Senior;Expert;United States;168400;United States;Medium;2023
Data Engineer;Full-Time;Senior;Expert;United States;105200;United States;Medium;2023
Analytics Engineer;Full-Time;Senior;Expert;United States;150550;United States;Medium;2023
Analytics Engineer;Full-Time;Senior;Expert;United States;116710;United States;Medium;2023
Data Scientist;Full-Time;Senior;Expert;United States;180000;United States;Medium;2023
Data Scientist;Full-Time;Senior;Expert;United States;162000;United States;Medium;2023
Machine Learning Engineer;Full-Time;Senior;Expert;United States;226600;United States;Medium;2023
Machine Learning Engineer;Full-Time;Senior;Expert;United States;140100;United States;Medium;2023
Data Visualization Engineer;Full-Time;Senior;Expert;United States;147100;United States;Medium;2023
Data Visualization Engineer;Full-Time;Senior;Expert;United States;90700;United States;Medium;2023
Research Scientist;Full-Time;Senior;Expert;United States;175000;United States;Medium;2023
Research Scientist;Full-Time;Senior;Expert;United States;120000;United States;Medium;2023
Data Architect;Full-Time;Senior;Expert;United States;147100;United States;Medium;2023
Data Architect;Full-Time;Senior;Expert;United States;90700;United States;Medium;2023
Analytics Engineer;Full-Time;Senior;Expert;United States;125000;United States;Medium;2023
Analytics Engineer;Full-Time;Senior;Expert;United States;100000;United States;Medium;2023
Research Scientist;Full-Time;Senior;Expert;United States;198800;United States;Medium;2023
