ID,year,Gender,approv_in_adv,loan_type,loan_purpose,open_credit,business_or_commercial,loan_amount,rate_of_interest,term,lump_sum_payment,property_value,construction_type,occupancy_type,total_units,income,credit_type,Credit_Score,co-applicant_credit_type,age,submission_of_application,Region,Status
24890,2019,Sex Not Available,nopre,type1,p1,nopc,nob/c,116500,,360.0,not_lpsm,118000.0,sb,pr,1U,1740.0,EXP,758.0,CIB,25-34,to_inst,south,0
24891,2019,Male,nopre,type2,p1,nopc,b/c,206500,,360.0,lpsm,,sb,pr,1U,4980.0,EQUI,552.0,EXP,55-64,to_inst,North,1
24892,2019,Male,pre,type1,p1,nopc,nob/c,406500,4.56,360.0,not_lpsm,508000.0,sb,pr,1U,9480.0,EXP,834.0,CIB,35-44,to_inst,south,1
24893,2019,Male,nopre,type1,p4,nopc,nob/c,456500,4.25,360.0,not_lpsm,658000.0,sb,pr,1U,11880.0,EXP,587.0,CIB,45-54,not_inst,North,0
24894,2019,Joint,pre,type1,p1,nopc,nob/c,696500,4.0,360.0,not_lpsm,758000.0,sb,pr,1U,10440.0,CRIF,602.0,EXP,25-34,not_inst,North,0
24895,2019,Joint,pre,type1,p1,nopc,nob/c,706500,3.99,360.0,not_lpsm,1008000.0,sb,pr,1U,10080.0,EXP,864.0,EXP,35-44,not_inst,North,1
24896,2019,Joint,pre,type1,p3,nopc,nob/c,346500,4.5,360.0,not_lpsm,438000.0,sb,pr,1U,5040.0,EXP,860.0,EXP,55-64,to_inst,North,1
24897,2019,Female,nopre,type1,p4,nopc,nob/c,266500,4.125,360.0,not_lpsm,308000.0,sb,pr,1U,3780.0,CIB,863.0,CIB,55-64,to_inst,North,1
24898,2019,Joint,nopre,type1,p3,nopc,nob/c,376500,4.875,360.0,not_lpsm,478000.0,sb,pr,1U,5580.0,CIB,580.0,EXP,55-64,to_inst,central,1
24899,2019,Sex Not Available,nopre,type3,p3,nopc,nob/c,436500,3.49,360.0,not_lpsm,688000.0,sb,pr,1U,6720.0,CIB,788.0,EXP,55-64,to_inst,south,0
